Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
   1092 | (992.0,341.0)=  541 (1002.7,342.5)=    0 
   1093 | ( 21.0,316.0)=  540 ( 18.9,319.9)=    0 
   1094 | (169.0,512.0)=  540 ( -1.0, -1.0)=   -5 
   1095 | (656.0,605.0)=  539 (652.1,577.0)=    0 
   1096 | (882.0,875.0)=  539 ( -1.0, -1.0)=   -5 
   1097 | (668.0,266.0)=  539 (691.2,232.5)=    0 
   1098 | (171.0,207.0)=  539 ( -1.0, -1.0)=   -5 
   1099 | (980.0,822.0)=  538 ( -1.0, -1.0)=   -5 
   1100 | (194.0,574.0)=  538 (271.9,522.7)=    0 
   1101 | (283.0,288.0)=  538 (271.4,279.9)=    0 
   1102 | ( 65.0,780.0)=  538 ( -1.0, -1.0)=   -3 
   1103 | (992.0,512.0)=  538 (983.2,498.7)=    0 
   1104 | (745.0,142.0)=  537 (740.9,142.8)=    0 
   1105 | (114.0,410.0)=  537 ( -1.0, -1.0)=   -3 
   1106 | (901.0,579.0)=  537 ( -1.0, -1.0)=   -3 
   1107 | (944.0,890.0)=  537 (939.3,888.3)=    0 
   1108 | (775.0,495.0)=  536 ( -1.0, -1.0)=   -5 
   1109 | (459.0,416.0)=  536 ( -1.0, -1.0)=   -5 
   1110 | (634.0,460.0)=  536 ( -1.0, -1.0)=   -3 
   1111 | (371.0,255.0)=  536 (371.8,253.1)=    0 
   1112 | (490.0,358.0)=  536 (490.8,354.5)=    0 
   1113 | (687.0, 97.0)=  536 ( -1.0, -1.0)=   -3 
   1114 | (858.0,127.0)=  536 ( -1.0, -1.0)=   -3 
   1115 | (955.0,697.0)=  536 ( -1.0, -1.0)=   -5 
   1116 | (891.0,877.0)=  536 ( -1.0, -1.0)=   -3 
   1117 | (799.0, 81.0)=  535 (801.8, 87.0)=    0 
   1118 | (245.0,128.0)=  535 ( -1.0, -1.0)=   -5 
   1119 | (189.0,483.0)=  535 ( -1.0, -1.0)=   -5 
   1120 | ( 23.0, 51.0)=  534 ( -1.0, -1.0)=   -4 
   1121 | (496.0,445.0)=  534 ( -1.0, -1.0)=   -5 
   1122 | (949.0,453.0)=  534 (945.7,437.1)=    0 
   1123 | (766.0,859.0)=  534 (795.1,876.9)=    0 
   1124 | (774.0,836.0)=  533 ( -1.0, -1.0)=   -5 
   1125 | (307.0,243.0)=  533 (308.1,242.6)=    0 
   1126 | (930.0, 89.0)=  533 ( -1.0, -1.0)=   -5 
   1127 | (739.0, 59.0)=  533 (740.5, 53.3)=    0 
   1128 | (836.0,226.0)=  533 ( -1.0, -1.0)=   -3 
   1129 | ( 19.0, 85.0)=  533 ( 26.6, 86.4)=    0 
   1130 | (670.0,124.0)=  532 (664.0,118.8)=    0 
   1131 | (683.0,469.0)=  532 ( -1.0, -1.0)=   -3 
   1132 | (838.0,626.0)=  531 ( -1.0, -1.0)=   -5 
   1133 | ( 43.0,663.0)=  530 ( 33.5,647.8)=    0 
   1134 | (710.0,437.0)=  530 (704.1,442.1)=    0 
   1135 | (916.0,165.0)=  530 ( -1.0, -1.0)=   -5 
   1136 | (305.0,514.0)=  529 ( -1.0, -1.0)=   -5 
   1137 | (215.0,399.0)=  529 ( -1.0, -1.0)=   -3 
   1138 | (101.0,323.0)=  529 ( -1.0, -1.0)=   -5 
   1139 | (584.0,436.0)=  529 (563.2,421.6)=    0 
   1140 | (881.0,814.0)=  529 ( -1.0, -1.0)=   -5 
   1141 | (165.0,771.0)=  529 ( -1.0, -1.0)=   -5 
   1142 | (117.0,799.0)=  528 ( -1.0, -1.0)=   -5 
   1143 | (963.0, 81.0)=  528 (966.4, 85.4)=    0 
   1144 | (312.0,899.0)=  528 ( -1.0, -1.0)=   -5 
   1145 | (806.0,660.0)=  528 (801.4,658.8)=    0 
   1146 | (811.0,601.0)=  528 (808.9,608.1)=    0 
   1147 | (708.0,422.0)=  528 ( -1.0, -1.0)=   -3 
   1148 | (954.0, 72.0)=  528 (952.4, 70.2)=    0 
   1149 | (413.0,476.0)=  528 (418.5,487.0)=    0 
   1150 | (262.0,561.0)=  527 (279.6,551.9)=    0 
   1151 | (1004.0,229.0)=  527 ( -1.0, -1.0)=   -5 
   1152 | (619.0,160.0)=  526 ( -1.0, -1.0)=   -3 
   1153 | (601.0,544.0)=  526 (611.5,561.6)=    0 
   1154 | (166.0,448.0)=  526 ( -1.0, -1.0)=   -3 
   1155 | (933.0, 21.0)=  526 ( -1.0, -1.0)=   -5 
   1156 | (427.0,575.0)=  525 (444.2,597.5)=    0 
   1157 | (540.0,675.0)=  525 ( -1.0, -1.0)=   -3 
   1158 | (110.0,801.0)=  525 ( -1.0, -1.0)=   -5 
   1159 | (434.0,512.0)=  525 (428.1,505.8)=    0 
   1160 | (901.0, 78.0)=  524 (910.7, 80.1)=    0 
   1161 | (377.0,657.0)=  524 (372.9,654.9)=    0 
   1162 | (843.0,754.0)=  524 ( -1.0, -1.0)=   -5 
   1163 | (566.0,174.0)=  524 ( -1.0, -1.0)=   -5 
   1164 | (439.0,574.0)=  524 ( -1.0, -1.0)=   -5 
   1165 | (906.0,725.0)=  524 ( -1.0, -1.0)=   -3 
   1166 | ( 93.0,169.0)=  523 ( 98.6,166.5)=    0 
   1167 | (669.0,517.0)=  522 ( -1.0, -1.0)=   -5 
   1168 | (654.0,483.0)=  521 ( -1.0, -1.0)=   -5 
   1169 | (130.0,907.0)=  521 ( -1.0, -1.0)=   -3 
   1170 | (391.0,833.0)=  521 ( -1.0, -1.0)=   -3 
   1171 | (235.0,882.0)=  521 ( -1.0, -1.0)=   -5 
   1172 | (636.0,269.0)=  521 ( -1.0, -1.0)=   -3 
   1173 | ( 56.0,172.0)=  520 ( 56.1,129.5)=    0 
   1174 | (490.0,474.0)=  520 (467.3,466.0)=    0 
   1175 | (449.0,139.0)=  520 ( -1.0, -1.0)=   -3 
   1176 | (801.0,741.0)=  519 (784.2,748.5)=    0 
   1177 | (881.0,652.0)=  519 (888.9,642.7)=    0 
   1178 | (115.0,587.0)=  519 (120.2,565.9)=    0 
   1179 | (419.0,511.0)=  519 (412.3,512.9)=    0 
   1180 | (382.0,149.0)=  519 (376.8,138.1)=    0 
   1181 | (150.0,164.0)=  519 ( -1.0, -1.0)=   -5 
   1182 | (769.0,482.0)=  518 ( -1.0, -1.0)=   -5 
   1183 | (615.0,825.0)=  518 ( -1.0, -1.0)=   -5 
   1184 | (129.0,200.0)=  518 ( -1.0, -1.0)=   -5 
   1185 | (553.0,860.0)=  518 (602.1,903.3)=    0 
   1186 | (663.0,463.0)=  517 ( -1.0, -1.0)=   -3 
   1187 | (873.0, 30.0)=  517 ( -1.0, -1.0)=   -5 
   1188 | (141.0,312.0)=  517 (124.4,319.0)=    0 
   1189 | (800.0,719.0)=  517 ( -1.0, -1.0)=   -5 
   1190 | (617.0,796.0)=  517 ( -1.0, -1.0)=   -5 
   1191 | (737.0,843.0)=  517 ( -1.0, -1.0)=   -5 
   1192 | ( 38.0,583.0)=  517 ( 26.6,584.3)=    0 
   1193 | (808.0,966.0)=  516 ( -1.0, -1.0)=   -3 
   1194 | (755.0, 89.0)=  516 ( -1.0, -1.0)=   -3 
   1195 | (988.0,927.0)=  516 ( -1.0, -1.0)=   -5 
   1196 | (960.0,327.0)=  515 (958.0,324.1)=    0 
   1197 | (657.0,108.0)=  515 (685.2,119.0)=    0 
   1198 | (148.0, 51.0)=  515 (148.3, 65.8)=    0 
   1199 | (999.0,314.0)=  515 (1006.5,317.6)=    0 
   1200 | ( 29.0,438.0)=  515 ( 22.7,436.8)=    0 
   1201 | (618.0,612.0)=  514 ( -1.0, -1.0)=   -5 
   1202 | (580.0,430.0)=  514 (565.2,448.8)=    0 
   1203 | (318.0, 16.0)=  513 (338.5, 29.2)=    0 
   1204 | (985.0,995.0)=  513 ( -1.0, -1.0)=   -5 
   1205 | (634.0,836.0)=  513 ( -1.0, -1.0)=   -5 
   1206 | (176.0,589.0)=  513 ( -1.0, -1.0)=   -5 
   1207 | (773.0,264.0)=  513 ( -1.0, -1.0)=   -5 
   1208 | (933.0,214.0)=  512 ( -1.0, -1.0)=   -3 
   1209 | (774.0,465.0)=  512 ( -1.0, -1.0)=   -5 
   1210 | (989.0,398.0)=  511 (971.3,401.0)=    0 
   1211 | (952.0,570.0)=  511 (947.6,561.7)=    0 
   1212 | (654.0,408.0)=  511 ( -1.0, -1.0)=   -5 
   1213 | (699.0,990.0)=  511 (712.5,993.7)=    0 
   1214 | (537.0,606.0)=  510 (533.4,618.2)=    0 
   1215 | (444.0,569.0)=  510 ( -1.0, -1.0)=   -5 
   1216 | (602.0,130.0)=  510 (600.6,107.1)=    0 
   1217 | (878.0, 37.0)=  510 ( -1.0, -1.0)=   -4 
   1218 | (110.0,584.0)=  510 (105.3,581.8)=    0 
   1219 | (276.0,226.0)=  510 ( -1.0, -1.0)=   -3 
   1220 | (921.0,268.0)=  509 (926.3,266.6)=    0 
   1221 | (726.0,553.0)=  509 (744.0,555.8)=    0 
   1222 | (927.0,576.0)=  509 ( -1.0, -1.0)=   -5 
   1223 | (647.0,226.0)=  509 ( -1.0, -1.0)=   -5 
   1224 | ( 31.0,800.0)=  509 ( -1.0, -1.0)=   -5 
   1225 | (394.0,237.0)=  509 ( -1.0, -1.0)=   -5 
   1226 | (318.0,993.0)=  509 ( -1.0, -1.0)=   -3 
   1227 | (140.0, 45.0)=  508 (134.3, 53.0)=    0 
   1228 | ( 28.0,650.0)=  508 ( 20.4,652.0)=    0 
   1229 | (563.0,126.0)=  508 ( -1.0, -1.0)=   -3 
   1230 | (385.0,831.0)=  508 (368.1,851.2)=    0 
   1231 | (843.0,632.0)=  508 ( -1.0, -1.0)=   -5 
   1232 | (414.0, 58.0)=  508 ( -1.0, -1.0)=   -3 
   1233 | (275.0,251.0)=  507 ( -1.0, -1.0)=   -3 
   1234 | (624.0, 84.0)=  507 ( -1.0, -1.0)=   -3 
   1235 | (542.0,971.0)=  507 (561.3,976.8)=    0 
   1236 | (365.0,213.0)=  507 ( -1.0, -1.0)=   -5 
   1237 | (919.0,726.0)=  506 (940.6,707.5)=    0 
   1238 | (479.0,561.0)=  506 (470.8,561.8)=    0 
   1239 | (940.0,974.0)=  506 ( -1.0, -1.0)=   -5 
   1240 | (938.0,549.0)=  506 (904.0,515.8)=    0 
   1241 | (746.0,468.0)=  506 (741.4,465.6)=    0 
   1242 | (732.0,339.0)=  506 (727.0,349.0)=    0 
   1243 | (1006.0,196.0)=  506 ( -1.0, -1.0)=   -4 
   1244 | (227.0,834.0)=  505 ( -1.0, -1.0)=   -3 
   1245 | (907.0,468.0)=  505 (915.2,467.0)=    0 
   1246 | (191.0,830.0)=  505 (205.2,805.7)=    0 
   1247 | (483.0,475.0)=  505 (489.8,471.7)=    0 
   1248 | (987.0,461.0)=  505 ( -1.0, -1.0)=   -3 
   1249 | (467.0,807.0)=  505 ( -1.0, -1.0)=   -5 
   1250 | (465.0,757.0)=  505 ( -1.0, -1.0)=   -3 
   1251 | (687.0,125.0)=  504 ( -1.0, -1.0)=   -5 
   1252 | (649.0,392.0)=  504 ( -1.0, -1.0)=   -5 
   1253 | (994.0,955.0)=  504 ( -1.0, -1.0)=   -5 
   1254 | (187.0,401.0)=  504 ( -1.0, -1.0)=   -5 
   1255 | (856.0,344.0)=  504 ( -1.0, -1.0)=   -5 
   1256 | (888.0,591.0)=  504 ( -1.0, -1.0)=   -5 
   1257 | (220.0, 78.0)=  504 ( -1.0, -1.0)=   -5 
   1258 | (330.0,242.0)=  503 ( -1.0, -1.0)=   -5 
   1259 | (771.0,598.0)=  503 ( -1.0, -1.0)=   -3 
   1260 | (863.0,114.0)=  502 ( -1.0, -1.0)=   -3 
   1261 | (304.0,118.0)=  502 (303.4,117.3)=    0 
   1262 | (216.0,697.0)=  502 ( -1.0, -1.0)=   -3 
   1263 | (941.0,753.0)=  502 ( -1.0, -1.0)=   -5 
   1264 | (962.0,594.0)=  502 (968.6,601.0)=    0 
   1265 | (288.0,401.0)=  501 (306.0,402.7)=    0 
   1266 | (961.0,918.0)=  501 ( -1.0, -1.0)=   -5 
   1267 | (645.0,217.0)=  501 (658.5,227.9)=    0 
   1268 | (159.0,772.0)=  501 ( -1.0, -1.0)=   -3 
   1269 | (935.0,517.0)=  501 ( -1.0, -1.0)=   -5 
   1270 | (544.0,707.0)=  501 ( -1.0, -1.0)=   -5 
   1271 | (922.0,652.0)=  500 ( -1.0, -1.0)=   -5 
   1272 | (531.0,974.0)=  500 (533.7,974.0)=    0 
   1273 | (145.0,409.0)=  499 (130.2,400.1)=    0 
   1274 | (920.0,544.0)=  499 ( -1.0, -1.0)=   -3 
   1275 | (317.0, 31.0)=  498 (315.8, 29.2)=    0 
   1276 | (979.0,264.0)=  498 (975.3,256.1)=    0 
   1277 | (707.0,225.0)=  498 (708.2,253.1)=    0 
   1278 | (851.0,210.0)=  498 ( -1.0, -1.0)=   -3 
   1279 | (292.0,1001.0)=  497 ( -1.0, -1.0)=   -5 
   1280 | (124.0,603.0)=  497 (107.7,602.8)=    0 
   1281 | (720.0,670.0)=  497 ( -1.0, -1.0)=   -3 
   1282 | ( 46.0,757.0)=  497 ( -1.0, -1.0)=   -5 
   1283 | (331.0,550.0)=  497 ( -1.0, -1.0)=   -5 
   1284 | (886.0,180.0)=  496 ( -1.0, -1.0)=   -5 
   1285 | (363.0, 32.0)=  496 (354.6, 29.8)=    0 
   1286 | (614.0,485.0)=  496 ( -1.0, -1.0)=   -5 
   1287 | (1007.0,275.0)=  496 ( -1.0, -1.0)=   -5 
   1288 | (645.0,105.0)=  496 (608.5, 80.0)=    0 
   1289 | ( 55.0,651.0)=  496 ( -1.0, -1.0)=   -3 
   1290 | (887.0,687.0)=  496 ( -1.0, -1.0)=   -5 
   1291 | (293.0,988.0)=  495 ( -1.0, -1.0)=   -3 
   1292 | (868.0,103.0)=  495 (918.7,118.9)=    0 
   1293 | (556.0,421.0)=  495 ( -1.0, -1.0)=   -5 
   1294 | (828.0,299.0)=  495 ( -1.0, -1.0)=   -3 
   1295 | (593.0,882.0)=  495 (604.0,907.1)=    0 
   1296 | (507.0,688.0)=  494 (525.7,682.4)=    0 
   1297 | (342.0,236.0)=  494 ( -1.0, -1.0)=   -5 
   1298 | (535.0,354.0)=  494 (529.7,375.7)=    0 
   1299 | (938.0,171.0)=  494 ( -1.0, -1.0)=   -5 
   1300 | (939.0,542.0)=  494 ( -1.0, -1.0)=   -5 
   1301 | (549.0,851.0)=  493 ( -1.0, -1.0)=   -3 
   1302 | (850.0,451.0)=  492 ( -1.0, -1.0)=   -5 
   1303 | (554.0,713.0)=  492 ( -1.0, -1.0)=   -5 
   1304 | (322.0, 31.0)=  492 ( -1.0, -1.0)=   -5 
   1305 | (868.0,211.0)=  491 ( -1.0, -1.0)=   -3 
   1306 | (869.0,131.0)=  491 ( -1.0, -1.0)=   -5 
   1307 | ( 39.0,837.0)=  490 ( 36.2,837.7)=    0 
   1308 | (202.0,307.0)=  490 (161.3,318.8)=    0 
   1309 | (705.0,495.0)=  490 ( -1.0, -1.0)=   -3 
   1310 | (697.0,909.0)=  490 ( -1.0, -1.0)=   -5 
   1311 | ( 16.0,111.0)=  490 ( -1.0, -1.0)=   -5 
   1312 | (755.0,619.0)=  489 ( -1.0, -1.0)=   -5 
   1313 | (586.0,188.0)=  489 (610.6,176.8)=    0 
   1314 | (700.0,252.0)=  488 (706.2,248.0)=    0 
   1315 | (977.0,298.0)=  488 ( -1.0, -1.0)=   -5 
   1316 | (353.0,519.0)=  488 ( -1.0, -1.0)=   -5 
   1317 | (815.0,967.0)=  488 (809.7,966.5)=    0 
   1318 | (1005.0,185.0)=  488 ( -1.0, -1.0)=   -4 
   1319 | (186.0,619.0)=  488 ( -1.0, -1.0)=   -5 
   1320 | (964.0, 87.0)=  487 (966.8, 91.0)=    0 
   1321 | (151.0,763.0)=  487 ( -1.0, -1.0)=   -5 
   1322 | (543.0,789.0)=  487 ( -1.0, -1.0)=   -5 
   1323 | (739.0,973.0)=  487 ( -1.0, -1.0)=   -3 
   1324 | (155.0, 44.0)=  487 (153.3, 45.9)=    0 
   1325 | (833.0,927.0)=  487 (828.0,927.7)=    0 
   1326 | (111.0,206.0)=  486 ( -1.0, -1.0)=   -5 
   1327 | (1003.0,789.0)=  486 ( -1.0, -1.0)=   -5 
   1328 | (884.0,771.0)=  486 ( -1.0, -1.0)=   -3 
   1329 | (457.0,852.0)=  486 ( -1.0, -1.0)=   -5 
   1330 | (595.0,136.0)=  486 ( -1.0, -1.0)=   -5 
   1331 | (433.0,566.0)=  485 (441.3,571.3)=    0 
   1332 | (617.0,378.0)=  485 ( -1.0, -1.0)=   -5 
   1333 | (200.0,846.0)=  485 ( -1.0, -1.0)=   -5 
   1334 | (836.0,971.0)=  485 (829.0,972.6)=    0 
   1335 | (122.0,744.0)=  485 ( 99.5,739.8)=    0 
   1336 | (370.0,966.0)=  485 ( -1.0, -1.0)=   -3 
   1337 | (885.0,315.0)=  485 (900.7,347.7)=    0 
   1338 | (234.0,804.0)=  484 ( -1.0, -1.0)=   -5 
   1339 | (368.0,496.0)=  484 (355.9,438.0)=    0 
   1340 | (521.0, 85.0)=  484 ( -1.0, -1.0)=   -5 
   1341 | (523.0,341.0)=  484 ( -1.0, -1.0)=   -3 
   1342 | (827.0,858.0)=  484 (829.7,870.8)=    0 
   1343 | ( 86.0,325.0)=  484 ( -1.0, -1.0)=   -3 
   1344 | (532.0,779.0)=  484 ( -1.0, -1.0)=   -5 
   1345 | (525.0,759.0)=  484 ( -1.0, -1.0)=   -5 
   1346 | (659.0, 26.0)=  484 ( -1.0, -1.0)=   -5 
   1347 | (993.0,330.0)=  483 ( -1.0, -1.0)=   -3 
   1348 | (740.0,1005.0)=  483 ( -1.0, -1.0)=   -5 
   1349 | (869.0,975.0)=  482 (858.4,974.4)=    0 
   1350 | (155.0,162.0)=  482 ( -1.0, -1.0)=   -3 
   1351 | ( 24.0,797.0)=  482 ( -1.0, -1.0)=   -5 
   1352 | (156.0,631.0)=  482 ( -1.0, -1.0)=   -5 
   1353 | (219.0,875.0)=  482 ( -1.0, -1.0)=   -5 
   1354 | (374.0,412.0)=  482 ( -1.0, -1.0)=   -5 
   1355 | (936.0,763.0)=  482 (913.3,749.4)=    0 
   1356 | (702.0,407.0)=  481 ( -1.0, -1.0)=   -5 
   1357 | (460.0,613.0)=  481 ( -1.0, -1.0)=   -3 
   1358 | (709.0,416.0)=  480 (712.8,409.9)=    0 
   1359 | (855.0,987.0)=  480 ( -1.0, -1.0)=   -3 
   1360 | ( 53.0,412.0)=  479 ( 53.5,417.5)=    0 
   1361 | (566.0,804.0)=  479 ( -1.0, -1.0)=   -5 
   1362 | (564.0,694.0)=  479 ( -1.0, -1.0)=   -3 
   1363 | (210.0,247.0)=  479 ( -1.0, -1.0)=   -5 
   1364 | (922.0,955.0)=  478 ( -1.0, -1.0)=   -5 
   1365 | (508.0,597.0)=  478 ( -1.0, -1.0)=   -5 
   1366 | ( 17.0, 55.0)=  478 ( -1.0, -1.0)=   -4 
   1367 | (959.0, 67.0)=  478 (957.3, 63.8)=    0 
   1368 | ( 93.0,437.0)=  478 ( -1.0, -1.0)=   -3 
   1369 | (833.0,875.0)=  478 ( -1.0, -1.0)=   -5 
   1370 | (505.0,731.0)=  478 ( -1.0, -1.0)=   -5 
   1371 | ( 98.0, 34.0)=  478 ( 77.1, 59.4)=    0 
   1372 | (529.0,330.0)=  478 ( -1.0, -1.0)=   -5 
   1373 | (283.0,997.0)=  477 ( -1.0, -1.0)=   -4 
   1374 | (126.0,527.0)=  477 ( -1.0, -1.0)=   -4 
   1375 | (798.0,908.0)=  476 ( -1.0, -1.0)=   -5 
   1376 | (670.0, 58.0)=  476 (683.4, 63.5)=    0 
   1377 | (389.0,126.0)=  476 ( -1.0, -1.0)=   -3 
   1378 | (632.0,993.0)=  476 ( -1.0, -1.0)=   -4 
   1379 | (705.0, 32.0)=  476 ( -1.0, -1.0)=   -3 
   1380 | (597.0,130.0)=  476 ( -1.0, -1.0)=   -5 
   1381 | (678.0,156.0)=  476 ( -1.0, -1.0)=   -3 
   1382 | (835.0,999.0)=  476 (835.6,993.6)=    0 
   1383 | (570.0,244.0)=  476 ( -1.0, -1.0)=   -3 
   1384 | (464.0, 30.0)=  476 (468.9, 61.6)=    0 
   1385 | ( 90.0,524.0)=  476 (119.9,516.6)=    0 
   1386 | (535.0,509.0)=  475 (542.6,520.6)=    0 
   1387 | (709.0,786.0)=  475 ( -1.0, -1.0)=   -5 
   1388 | (679.0,430.0)=  475 (704.2,433.6)=    0 
   1389 | (284.0,964.0)=  475 ( -1.0, -1.0)=   -5 
   1390 | (525.0,399.0)=  475 (522.7,406.4)=    0 
   1391 | (415.0,524.0)=  474 ( -1.0, -1.0)=   -5 
   1392 | (889.0,781.0)=  474 (825.7,772.8)=    0 
   1393 | (1007.0,223.0)=  474 ( -1.0, -1.0)=   -4 
   1394 | (935.0,576.0)=  474 ( -1.0, -1.0)=   -5 
   1395 | (145.0,228.0)=  473 ( -1.0, -1.0)=   -3 
   1396 | (602.0,193.0)=  473 ( -1.0, -1.0)=   -3 
   1397 | ( 27.0,510.0)=  473 ( -1.0, -1.0)=   -5 
   1398 | (881.0, 52.0)=  473 ( -1.0, -1.0)=   -5 
   1399 | (946.0,813.0)=  473 (942.8,809.8)=    0 
   1400 | (778.0,935.0)=  473 ( -1.0, -1.0)=   -3 
   1401 | (764.0,926.0)=  472 ( -1.0, -1.0)=   -3 
   1402 | (672.0,298.0)=  472 ( -1.0, -1.0)=   -5 
   1403 | (714.0,304.0)=  472 (702.3,303.0)=    0 
   1404 | (269.0,267.0)=  472 (265.7,263.1)=    0 
   1405 | (496.0,723.0)=  472 ( -1.0, -1.0)=   -5 
   1406 | (768.0,252.0)=  472 ( -1.0, -1.0)=   -5 
   1407 | (465.0,304.0)=  472 ( -1.0, -1.0)=   -3 
   1408 | (724.0,795.0)=  472 (722.5,789.0)=    0 
   1409 | (697.0,482.0)=  472 (699.5,501.7)=    0 
   1410 | (935.0,176.0)=  472 (931.3,180.4)=    0 
   1411 | (672.0,434.0)=  471 ( -1.0, -1.0)=   -3 
   1412 | (781.0,415.0)=  471 (795.7,415.2)=    0 
   1413 | (960.0,298.0)=  471 ( -1.0, -1.0)=   -3 
   1414 | ( 55.0,646.0)=  471 ( 71.5,660.8)=    0 
   1415 | (956.0, 46.0)=  471 ( -1.0, -1.0)=   -4 
   1416 | (812.0,743.0)=  471 ( -1.0, -1.0)=   -5 
   1417 | (837.0,759.0)=  471 (798.5,766.2)=    0 
   1418 | (411.0,226.0)=  470 (370.1,191.9)=    0 
   1419 | (788.0,840.0)=  470 ( -1.0, -1.0)=   -3 
   1420 | (1006.0,400.0)=  470 (998.9,397.7)=    0 
   1421 | (892.0, 32.0)=  470 ( -1.0, -1.0)=   -4 
   1422 | (997.0,229.0)=  469 (1000.4,226.0)=    0 
   1423 | (715.0,940.0)=  469 ( -1.0, -1.0)=   -4 
   1424 | (961.0, 52.0)=  469 (956.2, 50.5)=    0 
   1425 | (936.0,382.0)=  469 (939.1,371.8)=    0 
   1426 | (311.0,365.0)=  469 ( -1.0, -1.0)=   -3 
   1427 | (972.0,593.0)=  469 (965.5,590.9)=    0 
   1428 | (698.0,425.0)=  469 ( -1.0, -1.0)=   -3 
   1429 | (803.0,1003.0)=  469 ( -1.0, -1.0)=   -3 
   1430 | (393.0,193.0)=  469 (380.2,200.5)=    0 
   1431 | (728.0, 48.0)=  469 ( -1.0, -1.0)=   -5 
   1432 | (705.0,230.0)=  469 (694.4,228.0)=    0 
   1433 | (160.0,184.0)=  469 ( -1.0, -1.0)=   -3 
   1434 | ( 32.0,318.0)=  468 ( 32.9,322.2)=    0 
   1435 | (380.0,155.0)=  468 (375.1,145.5)=    0 
   1436 | (314.0,141.0)=  468 (314.9,135.8)=    0 
   1437 | (152.0,788.0)=  468 ( -1.0, -1.0)=   -5 
   1438 | (631.0,285.0)=  468 (655.3,300.3)=    0 
   1439 | (939.0,566.0)=  468 (936.4,585.0)=    0 
   1440 | (909.0,463.0)=  467 (902.6,461.5)=    0 
   1441 | (551.0,162.0)=  467 ( -1.0, -1.0)=   -5 
   1442 | (580.0,356.0)=  467 ( -1.0, -1.0)=   -5 
   1443 | (848.0,222.0)=  467 ( -1.0, -1.0)=   -3 
   1444 | ( 81.0,166.0)=  467 ( -1.0, -1.0)=   -5 
   1445 | (732.0,116.0)=  466 (720.5,129.8)=    0 
   1446 | (231.0,228.0)=  466 ( -1.0, -1.0)=   -5 
   1447 | (905.0,557.0)=  466 ( -1.0, -1.0)=   -5 
   1448 | (432.0,500.0)=  466 (446.1,498.1)=    0 
   1449 | (543.0,763.0)=  466 (568.7,773.2)=    0 
   1450 | (677.0,798.0)=  466 (674.1,778.0)=    0 
   1451 | (327.0,741.0)=  466 ( -1.0, -1.0)=   -5 
   1452 | (740.0,432.0)=  466 ( -1.0, -1.0)=   -5 
   1453 | (525.0,387.0)=  466 ( -1.0, -1.0)=   -5 
   1454 | (890.0,362.0)=  466 ( -1.0, -1.0)=   -5 
   1455 | (788.0,504.0)=  466 (770.4,499.7)=    0 
   1456 | (331.0,208.0)=  466 ( -1.0, -1.0)=   -5 
   1457 | (312.0,332.0)=  465 (286.1,330.1)=    0 
   1458 | (636.0, 96.0)=  465 ( -1.0, -1.0)=   -5 
   1459 | (572.0,804.0)=  465 ( -1.0, -1.0)=   -5 
   1460 | (122.0,390.0)=  465 ( -1.0, -1.0)=   -5 
   1461 | (424.0,229.0)=  464 (430.0,224.5)=    0 
   1462 | (954.0,915.0)=  464 ( -1.0, -1.0)=   -5 
   1463 | (104.0,469.0)=  463 ( -1.0, -1.0)=   -3 
   1464 | (513.0,393.0)=  463 ( -1.0, -1.0)=   -5 
   1465 | (573.0,269.0)=  463 ( -1.0, -1.0)=   -5 
   1466 | (942.0,692.0)=  463 (931.4,669.4)=    0 
   1467 | (853.0,446.0)=  463 (847.9,440.9)=    0 
   1468 | (124.0,509.0)=  463 ( -1.0, -1.0)=   -5 
   1469 | ( 58.0,797.0)=  463 ( 59.5,794.4)=    0 
   1470 | (777.0,727.0)=  462 (791.8,736.7)=    0 
   1471 | (787.0,218.0)=  462 ( -1.0, -1.0)=   -5 
   1472 | (274.0,158.0)=  462 ( -1.0, -1.0)=   -5 
   1473 | (553.0,390.0)=  462 ( -1.0, -1.0)=   -3 
   1474 | (693.0,992.0)=  462 ( -1.0, -1.0)=   -3 
   1475 | (629.0,228.0)=  462 ( -1.0, -1.0)=   -5 
   1476 | (973.0,353.0)=  462 (970.6,354.5)=    0 
   1477 | (217.0,666.0)=  461 ( -1.0, -1.0)=   -5 
   1478 | (761.0,806.0)=  461 ( -1.0, -1.0)=   -5 
   1479 | (753.0,260.0)=  461 ( -1.0, -1.0)=   -5 
   1480 | (813.0,369.0)=  461 ( -1.0, -1.0)=   -5 
   1481 | (994.0,517.0)=  460 (991.2,515.2)=    0 
   1482 | (847.0,312.0)=  460 (847.1,312.0)=    0 
   1483 | ( 73.0,735.0)=  460 ( -1.0, -1.0)=   -3 
   1484 | (412.0,130.0)=  460 ( -1.0, -1.0)=   -5 
   1485 | (113.0,601.0)=  459 (103.5,593.4)=    0 
   1486 | (720.0,425.0)=  459 (732.7,420.2)=    0 
   1487 | (866.0,674.0)=  459 ( -1.0, -1.0)=   -3 
