Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
     86 | (520.0,760.0)= 1702 ( -1.0, -1.0)=   -3 
     87 | (757.0,825.0)= 1677 ( -1.0, -1.0)=   -5 
     88 | (564.0,980.0)= 1673 (561.4,977.9)=    0 
     89 | (471.0,769.0)= 1668 ( -1.0, -1.0)=   -5 
     90 | (188.0,413.0)= 1667 ( -1.0, -1.0)=   -5 
     91 | (958.0,384.0)= 1667 (951.7,386.5)=    0 
     92 | (550.0,513.0)= 1656 (551.3,517.8)=    0 
     93 | (177.0,775.0)= 1652 (170.8,775.4)=    0 
     94 | (240.0,954.0)= 1625 ( -1.0, -1.0)=   -5 
     95 | (516.0,494.0)= 1625 (518.1,496.4)=    0 
     96 | (134.0,200.0)= 1624 ( -1.0, -1.0)=   -5 
     97 | (321.0,893.0)= 1624 ( -1.0, -1.0)=   -5 
     98 | ( 43.0,927.0)= 1622 ( 46.8,951.7)=    0 
     99 | (589.0,204.0)= 1620 ( -1.0, -1.0)=   -5 
    100 | (741.0,517.0)= 1613 ( -1.0, -1.0)=   -3 
    101 | (227.0,743.0)= 1609 ( -1.0, -1.0)=   -5 
    102 | (660.0,144.0)= 1608 (656.7,141.6)=    0 
    103 | (961.0,862.0)= 1604 (952.3,863.9)=    0 
    104 | (979.0,288.0)= 1590 (985.7,279.0)=    0 
    105 | (661.0,804.0)= 1588 ( -1.0, -1.0)=   -3 
    106 | (106.0,256.0)= 1584 ( 96.9,259.8)=    0 
    107 | (413.0,587.0)= 1583 ( -1.0, -1.0)=   -3 
    108 | (394.0,232.0)= 1577 (386.6,231.1)=    0 
    109 | (378.0,142.0)= 1575 (381.6,155.7)=    0 
    110 | (360.0,517.0)= 1571 ( -1.0, -1.0)=   -3 
    111 | (595.0,547.0)= 1571 (643.1,563.4)=    0 
    112 | (437.0,109.0)= 1568 (432.9,107.2)=    0 
    113 | (853.0,457.0)= 1558 (839.6,460.6)=    0 
